file;caption;description
beständigkeit.jpg;Beständigkeit;'Auge von Gott', bedeutet Arbeiten und Verpflichtungen, Stabilität, Dauernhaftigkeit, Sicherheit.
besuch.jpg;Besuch;Veranstaltungen, Freunde, Partys und allgemeine Zusammenkünfte mit anderen Menschen.
botschaft.jpg;Botschaft;Kommunikation, Gespräche.
brief.jpg;Brief;Diese Karte zeigt eine wichtige Mitteilung (Telefon, eine E-Mail oder einen Brief, Schriftstücke und Dokumente), Einladung, Geheimnis, Vertrag.
dieb.jpg;Dieb;Diese Karte zeigt negative Einflüsse und Belastungen, die durch andere Personen verursacht werden. In der Nähe einer Personenkarte gibt sie immer den Hinweis, dass Du Dich vor dieser Person in Acht nehmen solltest.
eifersucht.jpg;Eifersucht;Neid, Missgunst und Misstrauen.
etwas geld.jpg;Etwas Geld;Diese Karte zeigt eine kleinere Geldsumme.
falschheit.jpg;Falschheit;Diese Karte zeigt an, dass in Deinem Umfeld einiges falsch und ungerecht verläuft. Auch warnt sie vor Fehlern und Missgeschicken, die Dir oder Deinen Mitmenschen unterlaufen. In der Nähe einer Personenkarte sagt sie aus, dass die Person unehrlich ist.
feind.jpg;Feind;Diese Karte besagt, dass Du in Deinem Umfeld Feinde hast, die es mit Dir nicht gut meinen und Dir schaden wollen. Aber auch Rache und moralische Verwerfungen werden angezeigt und raten deshalb zur Vorsicht.
fröhlichkeit.jpg;Fröhlichkeit;Fröhliche Zeit, mit vielen positiven Überraschungen.
Gedanke.jpg;Gedanken;Pläne und Gedanken. Auch stellt sie eine Personenkarte dar und symbolisiert einen jüngeren, nachdenklichen und meist etwas introvertierten Mann, der aus Deinem Umfeld kommt.
geistlicher.jpg;Geistlicher;Diese Karte symbolisiert Esoterik, Religion, Lebensphilosophie und Weltanschauung. In der Nähe einer Personenkarte sagt sie immer aus, dass die Person viel Barmherzigkeit, soziales Verständnis und Mitgefühl hat.
geld.jpg;Geld;Geld und Wohlstand.
geliebte.jpg;Geliebte;Diese Karte ist eine Personenkarte. Ein Mann wird als die Karte Geliebter und eine Frau als die Karte Geliebte dargestellt. Hat der Mann oder die Frau neben der bestehenden Partnerschaft noch eine heimliche Liebe, wird diese als eine weitere Personenkarte dargestellt. Alle Karten, die über der Hauptperson liegen, zeigen deren Gedanken und die darunter liegenden Karten deren Besitz oder die gegenwärtige Alltagssituation.
geliebter.jpg;Geliebter;Diese Karte ist eine Personenkarte. Ein Mann wird als die Karte Geliebter und eine Frau als die Karte Geliebte dargestellt. Hat der Mann oder die Frau neben der bestehenden Partnerschaft noch eine heimliche Liebe, wird diese als eine weitere Personenkarte dargestellt. Alle Karten, die über der Hauptperson liegen, zeigen deren Gedanken und die darunter liegenden Karten deren Besitz oder die gegenwärtige Alltagssituation.
geschenk.jpg;Geschenk;Diese Zigeunerkarte symbolisiert nicht nur Geschenke, sondern auch positive Ereignisse, denen Du Deine Aufmerksamkeit schenkst. Meistens wird mit ihr aber eine Begabung angezeigt. In der Nähe einer Personenkarte sagt sie aus, dass die Person ein besonderes Talent hat.
glück.jpg;Glück;Diese Karte symbolisiert das Glück, eine glückliche Zeit und den großen Erfolg. Sollten negative Karten dabei liegen, werden diese durch die positive Aussage der Glückskarte abgeschwächt und fallen deswegen bei der Deutung nicht mehr so stark ins Gewicht. In der Nähe einer Personenkarte sagt sie aus, dass die Person optimistisch und vom Glück verwöhnt ist.
haus.jpg;Haus;Haus, Wohnung oder Grundstück, eigene Familie oder das wohnliche Umfeld.
heirat.jpg;Heirat;Die Karte symbolisiert eine feste Beziehung oder Bindung. In der Nähe einer Personenkarte sagt sie aus, dass die Person treu und zuverlässig ist.
hoffnung.jpg;Hoffnung;Diese Karte zeigt positive Gedanken und Wünsche und besagt, dass sich eine Angelegenheit zum Guten wendet.
kind.jpg;Kind;Die Karte zeigt ein kleines Kind. Auch symbolisiert sie Neuigkeiten, Erneuerungen oder einen Neubeginn.
krankheit.jpg;Krankheit;Körperliche oder seelische Krankheit . Mangel in Beziehung oder materielle Schaden.
liebe.jpg;Liebe;Liebe, Harmonie und Zärtlichkeit. Wird nicht direkt nach der Liebe gefragt, zeigt sie in der Nähe einer anderen Karte, dass die Angelegenheit ein gutes Ende nimmt. In der Nähe einer Personenkarte sagt sie aus, dass die Person sehr herzlich und liebenswürdig ist.
offizier.jpg;Offizier;Diese Karte zeigt einen Mann, der einflussreich ist oder ein dominantes und autoritäres Verhalten aufweist. Hierbei kann es sich um einen Freund oder einen jungen männlichen Verwandten handeln. Auch symbolisiert sie Behörden und Amtspersonen, mit denen Du im Alltag konfrontiert wirst.
reise.jpg;Reise;Die Karte symbolisiert eine Reise oder ein Fortbewegungsmittel oder Änderungen.
richter.jpg;Richter;Diese Karte symbolisiert alle Entscheidungen, die in der nächsten Zeit noch zu treffen sind. Je nach Frage zeigt sie aber auch juristische Personen oder auch das Gericht an.
